trait	animal	pe	sire	dam	sex	year	month	man	trait
1	M10001	M10001	101	25	2	2010	16	1	5
1	M10001	M10001	101	25	2	2010	16	3	4
1	M10001	M10001	101	25	2	2010	16	6	4
1	F10002	F10002	101	2	1	2010	16	1	4
1	F10002	F10002	101	2	1	2010	16	3	5
1	F10002	F10002	101	2	1	2010	16	6	4
1	F10004	F10004	103	44	1	2010	16	1	5
1	F10004	F10004	103	44	1	2010	16	3	5
1	F10004	F10004	103	44	1	2010	16	6	5
1	F10005	F10005	101	34	1	2010	16	1	5
1	F10005	F10005	101	34	1	2010	16	3	5
1	F10005	F10005	101	34	1	2010	16	6	4
1	M10006	M10006	103	23	2	2010	16	1	4
1	M10006	M10006	103	23	2	2010	16	3	5
1	M10006	M10006	103	23	2	2010	16	6	5
1	M10007	M10007	101	11	2	2010	16	1	4
1	M10007	M10007	101	11	2	2010	16	3	5
1	M10007	M10007	101	11	2	2010	16	6	5
1	M10008	M10008	101	39	2	2010	16	1	4
1	M10008	M10008	101	39	2	2010	16	3	5
1	M10008	M10008	101	39	2	2010	16	6	3
1	F10009	F10009	101	45	1	2010	15	1	2
1	F10009	F10009	101	45	1	2010	15	3	3
1	F10009	F10009	101	45	1	2010	15	6	3
1	M10010	M10010	103	61	2	2010	15	1	3
1	M10010	M10010	103	61	2	2010	15	3	2
1	M10010	M10010	103	61	2	2010	15	6	4
1	F10011	F10011	103	26	1	2010	15	1	2
1	F10011	F10011	103	26	1	2010	15	3	2
1	F10011	F10011	103	26	1	2010	15	6	4
1	F10013	F10013	101	55	1	2010	15	1	2
1	F10013	F10013	101	55	1	2010	15	3	3
1	F10013	F10013	101	55	1	2010	15	6	3
1	M10014	M10014	101	46	2	2010	15	1	3
1	M10014	M10014	101	46	2	2010	15	3	4
1	M10014	M10014	101	46	2	2010	15	6	4
1	M10015	M10015	101	1	2	2010	15	1	5
1	M10015	M10015	101	1	2	2010	15	3	5
1	M10015	M10015	101	1	2	2010	15	6	5
1	M10016	M10016	101	5	2	2010	15	1	4
1	M10016	M10016	101	5	2	2010	15	3	3
1	M10016	M10016	101	5	2	2010	15	6	4
1	M10017	M10017	101	36	2	2010	15	1	5
1	M10017	M10017	101	36	2	2010	15	3	5
1	M10017	M10017	101	36	2	2010	15	6	5
1	M10018	M10018	101	47	2	2010	15	1	5
1	M10018	M10018	101	47	2	2010	15	3	4
1	M10018	M10018	101	47	2	2010	15	6	5
1	M10019	M10019	101	50	2	2010	15	1	3
1	M10019	M10019	101	50	2	2010	15	3	4
1	M10019	M10019	101	50	2	2010	15	6	3
1	F10020	F10020	101	40	1	2010	15	1	4
1	F10020	F10020	101	40	1	2010	15	3	4
1	F10020	F10020	101	40	1	2010	15	6	5
1	F10021	F10021	101	38	1	2010	15	1	3
1	F10021	F10021	101	38	1	2010	15	3	3
1	F10021	F10021	101	38	1	2010	15	6	3
1	M10022	M10022	103	7	2	2010	15	1	5
1	M10022	M10022	103	7	2	2010	15	3	5
1	M10022	M10022	103	7	2	2010	15	6	5
1	M10023	M10023	102	51	2	2010	15	1	5
1	M10023	M10023	102	51	2	2010	15	3	4
1	M10023	M10023	102	51	2	2010	15	6	5
1	M10024	M10024	101	57	2	2010	15	1	3
1	M10024	M10024	101	57	2	2010	15	3	3
1	M10024	M10024	101	57	2	2010	15	6	3
1	M10025	M10025	101	18	2	2010	15	1	5
1	M10025	M10025	101	18	2	2010	15	3	5
1	M10025	M10025	101	18	2	2010	15	6	5
1	F10026	F10026	102	58	1	2010	15	1	5
1	F10026	F10026	102	58	1	2010	15	3	4
1	F10026	F10026	102	58	1	2010	15	6	5
1	M10028	M10028	102	48	2	2010	14	1	2
1	M10028	M10028	102	48	2	2010	14	3	3
1	M10028	M10028	102	48	2	2010	14	6	2
1	F10029	F10029	101	12	1	2010	14	1	3
1	F10029	F10029	101	12	1	2010	14	3	4
1	F10029	F10029	101	12	1	2010	14	6	3
1	F10030	F10030	101	37	1	2010	14	1	4
1	F10030	F10030	101	37	1	2010	14	3	4
1	F10030	F10030	101	37	1	2010	14	6	4
1	F10031	F10031	102	49	1	2010	14	1	3
1	F10031	F10031	102	49	1	2010	14	3	3
1	F10031	F10031	102	49	1	2010	14	6	4
1	M10032	M10032	103	27	2	2010	14	1	5
1	M10032	M10032	103	27	2	2010	14	3	5
1	M10032	M10032	103	27	2	2010	14	6	5
1	F10034	F10034	102	16	1	2010	14	1	4
1	F10034	F10034	102	16	1	2010	14	3	4
1	F10034	F10034	102	16	1	2010	14	6	4
1	M10035	M10035	102	17	2	2010	14	1	3
1	M10035	M10035	102	17	2	2010	14	3	3
1	M10035	M10035	102	17	2	2010	14	6	4
1	F10037	F10037	102	52	1	2010	14	1	3
1	F10037	F10037	102	52	1	2010	14	3	4
1	F10037	F10037	102	52	1	2010	14	6	4
1	M10038	M10038	102	3	2	2010	14	1	5
1	M10038	M10038	102	3	2	2010	14	3	5
1	M10038	M10038	102	3	2	2010	14	6	5
1	M10039	M10039	102	59	2	2010	14	1	3
1	M10039	M10039	102	59	2	2010	14	3	3
1	M10039	M10039	102	59	2	2010	14	6	4
1	M10040	M10040	102	33	2	2010	14	1	4
1	M10040	M10040	102	33	2	2010	14	3	5
1	M10040	M10040	102	33	2	2010	14	6	4
1	F10041	F10041	102	64	1	2010	14	1	5
1	F10041	F10041	102	64	1	2010	14	3	3
1	F10041	F10041	102	64	1	2010	14	6	3
1	M10042	M10042	101	35	2	2010	14	1	4
1	M10042	M10042	101	35	2	2010	14	3	5
1	M10042	M10042	101	35	2	2010	14	6	4
1	M10043	M10043	102	21	2	2010	14	1	5
1	M10043	M10043	102	21	2	2010	14	3	5
1	M10043	M10043	102	21	2	2010	14	6	4
1	M10045	M10045	101	13	2	2010	14	1	3
1	M10045	M10045	101	13	2	2010	14	3	3
1	M10045	M10045	101	13	2	2010	14	6	3
1	F10046	F10046	101	19	1	2010	14	1	4
1	F10046	F10046	101	19	1	2010	14	3	4
1	F10046	F10046	101	19	1	2010	14	6	5
1	M11001	M11001	101	34	2	2011	16	2	5
1	M11001	M11001	101	34	2	2011	16	3	5
1	M11001	M11001	101	34	2	2011	16	4	5
1	M11002	M11002	103	62	2	2011	16	2	4
1	M11002	M11002	103	62	2	2011	16	3	4
1	M11002	M11002	103	62	2	2011	16	4	4
1	M11003	M11003	101	55	2	2011	15	2	5
1	M11003	M11003	101	55	2	2011	15	3	4
1	M11003	M11003	101	55	2	2011	15	4	5
1	F11004	F11004	103	28	1	2011	15	2	5
1	F11004	F11004	103	28	1	2011	15	3	3
1	F11004	F11004	103	28	1	2011	15	4	4
1	F11005	F11005	101	4	1	2011	15	2	4
1	F11005	F11005	101	4	1	2011	15	3	3
1	F11005	F11005	101	4	1	2011	15	4	4
1	F11006	F11006	101	51	1	2011	15	2	5
1	F11006	F11006	101	51	1	2011	15	3	5
1	F11006	F11006	101	51	1	2011	15	4	5
1	F11007	F11007	101	46	1	2011	15	2	5
1	F11007	F11007	101	46	1	2011	15	3	4
1	F11007	F11007	101	46	1	2011	15	4	5
1	F11009	F11009	103	24	1	2011	15	2	4
1	F11009	F11009	103	24	1	2011	15	3	3
1	F11009	F11009	103	24	1	2011	15	4	4
1	M11010	M11010	101	2	2	2011	15	2	5
1	M11010	M11010	101	2	2	2011	15	3	3
1	M11010	M11010	101	2	2	2011	15	4	4
1	M11011	M11011	101	48	2	2011	15	2	5
1	M11011	M11011	101	48	2	2011	15	3	5
1	M11011	M11011	101	48	2	2011	15	4	5
1	M11012	M11012	103	58	2	2011	15	2	4
1	M11012	M11012	103	58	2	2011	15	3	3
1	M11012	M11012	103	58	2	2011	15	4	4
1	M11013	M11013	101	18	2	2011	15	2	3
1	M11013	M11013	101	18	2	2011	15	3	2
1	M11013	M11013	101	18	2	2011	15	4	3
1	F11016	F11016	101	43	1	2011	15	2	5
1	F11016	F11016	101	43	1	2011	15	3	4
1	F11016	F11016	101	43	1	2011	15	4	4
1	M11018	M11018	103	14	2	2011	15	2	5
1	M11018	M11018	103	14	2	2011	15	3	4
1	M11018	M11018	103	14	2	2011	15	4	5
1	M11019	M11019	101	11	2	2011	15	2	5
1	M11019	M11019	101	11	2	2011	15	3	4
1	M11019	M11019	101	11	2	2011	15	4	5
1	F11020	F11020	103	53	1	2011	15	2	3
1	F11020	F11020	103	53	1	2011	15	3	2
1	F11020	F11020	103	53	1	2011	15	4	3
1	F11022	F11022	101	31	1	2011	15	2	4
1	F11022	F11022	101	31	1	2011	15	3	3
1	F11022	F11022	101	31	1	2011	15	4	4
1	F11024	F11024	103	44	1	2011	15	2	5
1	F11024	F11024	103	44	1	2011	15	3	5
1	F11024	F11024	103	44	1	2011	15	4	5
1	F11025	F11025	101	5	1	2011	15	2	4
1	F11025	F11025	101	5	1	2011	15	3	3
1	F11025	F11025	101	5	1	2011	15	4	5
1	M11029	M11029	101	37	2	2011	15	2	5
1	M11029	M11029	101	37	2	2011	15	3	4
1	M11029	M11029	101	37	2	2011	15	4	4
1	M11031	M11031	101	1	2	2011	15	2	5
1	M11031	M11031	101	1	2	2011	15	3	4
1	M11031	M11031	101	1	2	2011	15	4	4
1	F11032	F11032	103	8	1	2011	15	2	4
1	F11032	F11032	103	8	1	2011	15	3	5
1	F11032	F11032	103	8	1	2011	15	4	4
1	F11033	F11033	101	54	1	2011	15	2	5
1	F11033	F11033	101	54	1	2011	15	3	5
1	F11033	F11033	101	54	1	2011	15	4	5
1	F11034	F11034	103	59	1	2011	14	2	3
1	F11034	F11034	103	59	1	2011	14	3	2
1	F11034	F11034	103	59	1	2011	14	4	3
1	M11036	M11036	103	17	2	2011	14	2	5
1	M11036	M11036	103	17	2	2011	14	3	3
1	M11036	M11036	103	17	2	2011	14	4	3
1	M11038	M11038	103	6	2	2011	14	2	4
1	M11038	M11038	103	6	2	2011	14	3	3
1	M11038	M11038	103	6	2	2011	14	4	4
1	F11040	F11040	101	19	1	2011	14	2	4
1	F11040	F11040	101	19	1	2011	14	3	4
1	F11040	F11040	101	19	1	2011	14	4	4
1	F11043	F11043	101	35	1	2011	14	2	1
1	F11043	F11043	101	35	1	2011	14	3	2
1	F11043	F11043	101	35	1	2011	14	4	2
1	F11045	F11045	103	27	1	2011	14	2	1
1	F11045	F11045	103	27	1	2011	14	3	2
1	F11045	F11045	103	27	1	2011	14	4	1
1	M11046	M11046	101	41	2	2011	14	2	4
1	M11046	M11046	101	41	2	2011	14	3	3
1	M11046	M11046	101	41	2	2011	14	4	4
1	M11047	M11047	101	13	2	2011	14	2	5
1	M11047	M11047	101	13	2	2011	14	3	4
1	M11047	M11047	101	13	2	2011	14	4	5
1	M11050	M11050	102	64	2	2011	13	2	4
1	M11050	M11050	102	64	2	2011	13	3	4
1	M11050	M11050	102	64	2	2011	13	4	5
1	M11052	M11052	102	23	2	2011	13	2	4
1	M11052	M11052	102	23	2	2011	13	3	4
1	M11052	M11052	102	23	2	2011	13	4	3
1	F11053	F11053	102	65	1	2011	13	2	5
1	F11053	F11053	102	65	1	2011	13	3	4
1	F11053	F11053	102	65	1	2011	13	4	4
1	M11055	M11055	101	30	2	2011	12	2	5
1	M11055	M11055	101	30	2	2011	12	3	4
1	M11055	M11055	101	30	2	2011	12	4	5
1	F12001	F12001	101	34	1	2012	15	1	3 
1	F12001	F12001	101	34	1	2012	15	3	3 
1	F12001	F12001	101	34	1	2012	15	5	4 
1	F12002	F12002	103	61	1	2012	15	1	3 
1	F12002	F12002	103	61	1	2012	15	3	4 
1	F12002	F12002	103	61	1	2012	15	5	5 
1	M12003	M12003	101	51	2	2012	15	1	4 
1	M12003	M12003	101	51	2	2012	15	3	5 
1	M12003	M12003	101	51	2	2012	15	5	5 
1	F12004	F12004	101	2	1	2012	15	1	5 
1	F12004	F12004	101	2	1	2012	15	3	5 
1	F12004	F12004	101	2	1	2012	15	5	5 
1	M12005	M12005	103	58	2	2012	15	1	4 
1	M12005	M12005	103	58	2	2012	15	3	4 
1	M12005	M12005	103	58	2	2012	15	5	5 
1	M12006	M12006	101	48	2	2012	15	1	3 
1	M12006	M12006	101	48	2	2012	15	3	4 
1	M12006	M12006	101	48	2	2012	15	5	4 
1	M12007	M12007	101	37	2	2012	15	1	3 
1	M12007	M12007	101	37	2	2012	15	3	4 
1	M12007	M12007	101	37	2	2012	15	5	4 
1	M12009	M12009	101	4	2	2012	15	1	2 
1	M12009	M12009	101	4	2	2012	15	3	4 
1	M12009	M12009	101	4	2	2012	15	5	3 
1	M12010	M12010	101	25	2	2012	15	1	4 
1	M12010	M12010	101	25	2	2012	15	3	5 
1	M12010	M12010	101	25	2	2012	15	5	5 
1	F12011	F12011	101	38	1	2012	15	1	2 
1	F12011	F12011	101	38	1	2012	15	3	3 
1	F12011	F12011	101	38	1	2012	15	5	2 
1	M12012	M12012	101	15	2	2012	15	1	2 
1	M12012	M12012	101	15	2	2012	15	3	3 
1	M12012	M12012	101	15	2	2012	15	5	4 
1	F12015	F12015	101	11	1	2012	15	1	3 
1	F12015	F12015	101	11	1	2012	15	3	3 
1	F12015	F12015	101	11	1	2012	15	5	2 
1	M12017	M12017	101	55	2	2012	15	1	4 
1	M12017	M12017	101	55	2	2012	15	3	5 
1	M12017	M12017	101	55	2	2012	15	5	5 
1	F12018	F12018	101	57	1	2012	15	1	3 
1	F12018	F12018	101	57	1	2012	15	3	4 
1	F12018	F12018	101	57	1	2012	15	5	4 
1	F12019	F12019	101	45	1	2012	15	1	2 
1	F12019	F12019	101	45	1	2012	15	3	2 
1	F12019	F12019	101	45	1	2012	15	5	2 
1	M12020	M12020	101	40	2	2012	15	1	3 
1	M12020	M12020	101	40	2	2012	15	3	4 
1	M12020	M12020	101	40	2	2012	15	5	4 
1	F12022	F12022	103	3	1	2012	15	1	3 
1	F12022	F12022	103	3	1	2012	15	3	4 
1	F12022	F12022	103	3	1	2012	15	5	5 
1	M12026	M12026	101	9002	2	2012	15	1	2 
1	M12026	M12026	101	9002	2	2012	15	3	3 
1	M12026	M12026	101	9002	2	2012	15	5	3 
1	M12027	M12027	101	18	2	2012	14	1	3 
1	M12027	M12027	101	18	2	2012	14	3	4 
1	M12027	M12027	101	18	2	2012	14	5	5 
1	F12028	F12028	101	50	1	2012	14	1	2 
1	F12028	F12028	101	50	1	2012	14	3	3 
1	F12028	F12028	101	50	1	2012	14	5	3 
1	M12029	M12029	101	41	2	2012	14	1	4 
1	M12029	M12029	101	41	2	2012	14	3	3 
1	M12029	M12029	101	41	2	2012	14	5	4 
1	M12030	M12030	101	35	2	2012	14	1	3 
1	M12030	M12030	101	35	2	2012	14	3	4 
1	M12030	M12030	101	35	2	2012	14	5	5 
1	F12032	F12032	103	42	1	2012	14	1	3 
1	F12032	F12032	103	42	1	2012	14	3	4 
1	F12032	F12032	103	42	1	2012	14	5	5 
